267,245,297
240,216,257
195,173,208
195,208,230
325,354,368
240,257,284
267,297,323
267,323,301
468,445,489
412,394,441
374,344,397
374,397,423
360,339,386
316,298,338
273,251,300
273,300,317
266,248,296
226,200,247
172,153,201
172,201,218
318,341,363
226,247,270
266,296,320
266,320,293
416,449,465
321,355,370
383,408,436
383,436,402
227,246,272
132,151,175
168,203,213
168,213,198
326,345,376
233,259,276
287,305,328
287,328,303
262,324,295
233,276,249
326,376,359
326,359,299
635,622,615
642,636,640
629,607,620
629,620,630
623,624,632
590,600,608
605,597,618
605,618,616
582,564,583
579,556,581
530,508,535
530,535,557
625,627,633
579,581,603
582,583,606
582,606,604
596,617,594
578,612,589
639,641,637
639,637,619
553,586,567
507,537,534
562,575,588
562,588,558
631,628,638
587,591,611
595,593,610
595,610,614
613,626,599
587,611,601
631,638,634
631,634,621
20,36,38
4,16,9
31,50,41
31,41,25
6,13,5
28,32,15
33,45,29
33,29,18
67,95,72
61,83,63
105,131,117
105,117,86
23,27,12
61,63,40
67,72,47
67,47,43
44,34,55
70,37,58
14,8,17
14,17,30
96,65,82
132,106,113
85,66,60
85,60,92
1,3,2
46,35,22
21,24,11
21,11,10
39,26,56
46,22,42
1,2,7
1,7,19
306,361,307
311,358,309
393,442,398
393,398,357
313,351,312
316,349,314
384,421,387
384,387,347
469,511,474
456,493,463
526,561,536
526,536,499
388,391,350
456,463,422
469,474,432
469,432,428
220,264,265
137,183,177
229,269,268
229,268,225
73,107,101
28,52,49
81,120,112
81,112,77
239,275,274
165,205,202
244,278,277
244,277,243
147,186,143
165,202,158
239,274,234
239,234,191
407,367,365
479,444,447
405,366,364
405,364,406
544,519,514
590,572,568
550,532,522
550,522,547
430,382,381
504,467,471
425,377,380
425,380,427
491,450,486
504,471,500
430,381,417
430,417,462
331,291,330
334,294,333
256,212,252
256,252,292
337,281,336
332,280,335
232,185,231
232,231,282
167,145,174
144,121,160
99,80,111
99,111,133
228,242,279
144,160,184
167,174,209
167,209,199
403,390,362
487,475,448
470,453,424
470,424,437
545,551,517
592,602,571
609,598,585
609,585,577
521,502,484
584,565,554
539,515,510
539,510,533
559,516,525
584,554,573
521,484,498
521,498,540
360,371,338
412,420,386
429,446,409
429,409,395
468,483,441
507,534,489
553,567,528
553,528,513
520,523,490
578,589,552
596,594,563
596,563,560
497,464,458
578,552,541
520,490,480
520,480,505
530,494,508
579,543,556
501,460,476
501,476,512
605,580,597
590,568,600
544,514,548
544,548,576
457,414,434
479,447,466
407,365,389
407,389,431
555,531,569
479,466,518
457,434,477
457,477,506
481,524,495
426,472,452
509,549,538
509,538,496
372,415,401
332,377,353
425,467,440
425,440,399
542,570,566
504,532,527
550,572,574
550,574,546
455,485,443
504,527,482
542,566,529
542,529,503
105,134,131
61,90,83
119,154,141
119,141,114
33,54,45
28,49,32
73,101,76
73,76,51
161,206,176
137,177,148
220,265,236
220,236,189
78,97,69
137,148,104
161,176,138
161,138,118
172,127,153
226,180,200
136,89,110
136,110,156
273,235,251
316,278,298
244,205,219
244,219,260
94,53,68
165,120,126
81,52,48
81,48,84
197,166,210
165,126,182
94,68,115
94,115,140
195,157,173
240,193,216
152,109,135
152,135,169
286,237,261
329,290,304
250,211,221
250,221,263
103,79,91
181,150,142
123,93,87
123,87,116
196,171,217
181,142,187
103,91,128
103,128,146
96,130,113
70,108,82
155,190,163
155,163,124
44,74,58
62,80,55
99,121,100
99,100,71
204,241,215
144,185,170
232,280,258
232,258,214
102,129,88
144,170,125
204,215,178
204,178,149
478,488,451
385,404,356
439,461,413
478,451,435
255,289,238
164,192,162
194,223,179
255,238,207
375,410,342
253,285,222
308,340,283
375,342,310
385,356,319
315,288,254
439,413,379
385,319,348
419,459,438
378,418,396
322,373,352
419,438,400
325,368,343
286,327,304
240,284,261
325,343,302
224,271,245
195,230,216
159,188,173
224,245,208
378,396,354
267,301,257
322,352,297
378,354,323
416,465,445
374,423,394
321,370,344
416,445,397
318,363,339
273,317,298
226,270,251
318,339,300
227,272,248
172,218,200
132,175,153
227,248,201
374,394,341
266,293,247
321,344,296
374,341,320
481,495,449
383,402,355
426,452,408
481,449,436
262,295,246
168,198,151
233,249,203
262,246,213
372,401,345
287,303,259
332,353,305
372,345,328
383,355,324
326,299,276
426,408,376
383,324,359
609,602,622
629,630,636
584,598,607
609,622,620
625,633,624
605,616,600
579,603,597
625,624,618
539,565,564
530,557,556
492,515,508
539,564,535
629,636,627
582,604,581
584,607,583
629,627,606
635,615,617
639,619,612
642,640,641
635,617,637
613,599,586
562,558,537
587,601,575
613,586,588
623,632,628
595,614,591
590,608,593
623,628,610
639,612,626
631,621,611
642,641,638
639,626,634
57,59,36
31,25,16
75,64,50
57,36,41
23,12,13
33,18,32
61,40,45
23,13,29
122,98,95
105,86,83
159,139,131
122,95,117
31,16,27
67,43,63
75,50,72
31,27,47
20,38,34
14,30,37
4,9,8
20,34,17
39,56,65
85,92,106
46,42,66
39,65,60
6,5,3
21,10,35
28,15,24
6,3,11
14,37,26
1,19,22
4,8,2
14,26,7
